Benchmark                        Mode  Cnt    Score     Error  Units
Benchmarks.forEachOrdered       thrpt   25   67.015 ±   0.976  ops/s
Benchmarks.forEachParallel      thrpt   25   14.888 ±   0.411  ops/s
Benchmarks.forLoopsNested       thrpt   25   73.164 ±   0.072  ops/s
Benchmarks.putArgbPreIntoBytes  thrpt   25  338.468 ±   0.130  ops/s
Benchmarks.putArgbPreIntoInts   thrpt   25  338.448 ±   0.100  ops/s
Benchmarks.putArrayIntoBytes    thrpt   25  498.385 ±   0.110  ops/s
Benchmarks.putDirectIntoInts    thrpt   25  526.824 ±   0.059  ops/s
Benchmarks.setArgbAsArgb        thrpt   25  669.851 ±  72.463  ops/s
Benchmarks.setArgbAsArgbPre     thrpt   25  734.370 ± 103.552  ops/s
Benchmarks.setArgbPreAsArgb     thrpt   25  265.985 ±   0.038  ops/s
Benchmarks.setArgbPreAsArgbPre  thrpt   25  285.374 ±   0.110  ops/s
Benchmarks.setArrayAsArgb       thrpt   25  287.558 ±   0.130  ops/s
Benchmarks.setArrayAsArgbPre    thrpt   25  326.277 ±   0.043  ops/s
Benchmarks.toFXImage            thrpt   25  243.281 ±   0.253  ops/s
